>requestaudit/6	02.23 17:13:37.875	IdcServer-10	CLEAR_SERVER_OUTPUT [dUser=weblogic][IsJava=1] 0.006635999772697687(secs)
>requestaudit/6	02.23 17:13:49.186	IdcServer-11	FLD_EDIT_FOLDER_FORM [dUser=weblogic] 0.0469370000064373(secs)
>requestaudit/6	02.23 17:14:00.002	Audit Request Monitor	!csMonitorTotalRequests,11,2,0.17148113250732422,0.03245454654097557,1
>requestaudit/6	02.23 17:14:00.003	Audit Request Monitor	Request Audit Report over the last 64 Seconds for server stjacobpc1idcoraclecom16471****
 requestaudit/6	02.23 17:14:00.003	Audit Request Monitor	-Num Requests 11 Errors 2 Reqs/sec. 0.17148113250732422 Avg. Latency (secs) 0.03245454654097557 Max Thread Count 1
 requestaudit/6	02.23 17:14:00.003	Audit Request Monitor	1	Service FLD_UNFILE	Total Elapsed Time (secs) 0.10999999940395355	Num requests 1	Num errors 0	Avg. Latency (secs) 0.10999999940395355
 requestaudit/6	02.23 17:14:00.003	Audit Request Monitor	2	Service GET_PERSONALIZED_JAVASCRIPT	Total Elapsed Time (secs) 0.10700000077486038	Num requests 1	Num errors 0	Avg. Latency (secs) 0.10700000077486038
 requestaudit/6	02.23 17:14:00.003	Audit Request Monitor	3	Service FLD_EDIT_FOLDER_FORM	Total Elapsed Time (secs) 0.04600000008940697	Num requests 1	Num errors 0	Avg. Latency (secs) 0.04600000008940697
 requestaudit/6	02.23 17:14:00.003	Audit Request Monitor	4	Service PING_SERVER	Total Elapsed Time (secs) 0.03999999910593033	Num requests 3	Num errors 2	Avg. Latency (secs) 0.013333333656191826
 requestaudit/6	02.23 17:14:00.003	Audit Request Monitor	5	Service GET_DOC_PAGE	Total Elapsed Time (secs) 0.029999999329447746	Num requests 1	Num errors 0	Avg. Latency (secs) 0.029999999329447746
 requestaudit/6	02.23 17:14:00.003	Audit Request Monitor	****End Audit Report*****
>requestaudit/6	02.23 17:14:01.907	IdcServer-12	GET_TYPEAHEAD_RESULTS [dUser=weblogic] 0.014562999829649925(secs)
>requestaudit/6	02.23 17:14:04.009	IdcServer-13	GET_TYPEAHEAD_RESULTS [dUser=weblogic] 0.011691000312566757(secs)
>PushRIDC/6	02.23 17:14:12.908	IdcServer-20	DataBinder is FLD_EDIT_FOLDE 
 PushRIDC/6	02.23 17:14:12.908	IdcServer-20	*** LocalData ***
 PushRIDC/6	02.23 17:14:12.908	IdcServer-20	(66 keys + 0 defaults)
 PushRIDC/6	02.23 17:14:12.908	IdcServer-20	IdcService=FLD_EDIT_FOLDER
 PushRIDC/6	02.23 17:14:12.908	IdcServer-20	IsJson=1
 PushRIDC/6	02.23 17:14:12.908	IdcServer-20	StatusCode=0
 PushRIDC/6	02.23 17:14:12.908	IdcServer-20	browseUrl=/cs/idcplg?IdcService=FLD_BROWSE&path=%2fACL%2fDFC&doMarkSubscribed=1
 PushRIDC/6	02.23 17:14:12.908	IdcServer-20	changedMonikers=
 PushRIDC/6	02.23 17:14:12.908	IdcServer-20	changedSubjects=
 PushRIDC/6	02.23 17:14:12.908	IdcServer-20	constructListingMarkup=1
 PushRIDC/6	02.23 17:14:12.908	IdcServer-20	dUser=weblogic
 PushRIDC/6	02.23 17:14:12.908	IdcServer-20	doSorting=0
 PushRIDC/6	02.23 17:14:12.908	IdcServer-20	fAllocatedFolderSize=-1
 PushRIDC/6	02.23 17:14:12.908	IdcServer-20	fAllocatorParentFolderGUID=
 PushRIDC/6	02.23 17:14:12.908	IdcServer-20	fApplication=framework
 PushRIDC/6	02.23 17:14:12.908	IdcServer-20	fApplicationGUID=
 PushRIDC/6	02.23 17:14:12.908	IdcServer-20	fChildFilesCount=0
 PushRIDC/6	02.23 17:14:12.908	IdcServer-20	fChildFoldersCount=0
 PushRIDC/6	02.23 17:14:12.908	IdcServer-20	fClbraAliasList=
 PushRIDC/6	02.23 17:14:12.908	IdcServer-20	fClbraRoleList=
 PushRIDC/6	02.23 17:14:12.908	IdcServer-20	fClbraUserList=&sysadmin(RWD),&weblogic(RW)
 PushRIDC/6	02.23 17:14:12.908	IdcServer-20	fCreateDate=2/23/16 2:37 AM
 PushRIDC/6	02.23 17:14:12.908	IdcServer-20	fCreator=weblogic
 PushRIDC/6	02.23 17:14:12.908	IdcServer-20	fDisplayDescription=
 PushRIDC/6	02.23 17:14:12.908	IdcServer-20	fDisplayName=DFC
 PushRIDC/6	02.23 17:14:12.908	IdcServer-20	fDocAccount=
 PushRIDC/6	02.23 17:14:12.908	IdcServer-20	fDocClasses=
 PushRIDC/6	02.23 17:14:12.908	IdcServer-20	fFolderDescription=
 PushRIDC/6	02.23 17:14:12.908	IdcServer-20	fFolderGUID=1AA4D433E0FBA6636343A5AF17F70509
 PushRIDC/6	02.23 17:14:12.908	IdcServer-20	fFolderName=DFC
 PushRIDC/6	02.23 17:14:12.908	IdcServer-20	fFolderSize=0
 PushRIDC/6	02.23 17:14:12.908	IdcServer-20	fFolderType=owner
 PushRIDC/6	02.23 17:14:12.908	IdcServer-20	fInhibitPropagation=0
 PushRIDC/6	02.23 17:14:12.908	IdcServer-20	fIsBrokenShortcut=
 PushRIDC/6	02.23 17:14:12.908	IdcServer-20	fIsContribution=1
 PushRIDC/6	02.23 17:14:12.908	IdcServer-20	fIsFavorite=0
 PushRIDC/6	02.23 17:14:12.908	IdcServer-20	fIsInTrash=0
 PushRIDC/6	02.23 17:14:12.908	IdcServer-20	fIsLibrary=0
 PushRIDC/6	02.23 17:14:12.908	IdcServer-20	fLastModifiedDate=2/23/16 5:14 PM
 PushRIDC/6	02.23 17:14:12.908	IdcServer-20	fLastModifier=weblogic
 PushRIDC/6	02.23 17:14:12.908	IdcServer-20	fLibraryType=
 PushRIDC/6	02.23 17:14:12.908	IdcServer-20	fOwner=weblogic
 PushRIDC/6	02.23 17:14:12.908	IdcServer-20	fOwner_Options=weblogic
 PushRIDC/6	02.23 17:14:12.908	IdcServer-20	fParentGUID=B7989D50165705063A4B6E49060A2066
 PushRIDC/6	02.23 17:14:12.908	IdcServer-20	fPromptForMetadata=0
 PushRIDC/6	02.23 17:14:12.908	IdcServer-20	fRealItemGUID=
 PushRIDC/6	02.23 17:14:12.908	IdcServer-20	fSecurityGroup=Public
 PushRIDC/6	02.23 17:14:12.908	IdcServer-20	fTargetGUID=
 PushRIDC/6	02.23 17:14:12.908	IdcServer-20	fldBrowsingMode=contribution
 PushRIDC/6	02.23 17:14:12.908	IdcServer-20	folderHref=/cs/idcplg?IdcService=FLD_BROWSE&path=%2fACL%2fDFC&doMarkSubscribed=1
 PushRIDC/6	02.23 17:14:12.908	IdcServer-20	folderPath=/ACL/DFC
 PushRIDC/6	02.23 17:14:12.908	IdcServer-20	folderPathLocalized=/ACL/DFC
 PushRIDC/6	02.23 17:14:12.908	IdcServer-20	folderPermissions=RWDA
 PushRIDC/6	02.23 17:14:12.908	IdcServer-20	idcToken=1456400652849:01A37B28AFFE5964A8FDB98140CE9145
